https://www.youtube.com/user/ozodivideo;62181;tajik, Tajikistan, tojik, Tojikiston, тоҷик, Тоҷикистон, Душанбе, таджик, таджики, Таджикистан;mk
https://www.youtube.com/user/autumnsnakelaos;93;おぉたむすねィく探検隊, ラオス, 部隊, laos;ja
https://www.youtube.com/user/mysiamb;124;;ru
https://www.youtube.com/user/xxmaf1a;9169;opticnation, exxstacy, seananners, hutch, h3cz, machinima, fazeclan, wearem40a3, thedarthempire, optic, mafia, opticmafia;en
https://www.youtube.com/channel/UCJT1AdNimgbM3GXOCS2Wf_Q;18544;;en
https://www.youtube.com/channel/UC-xsrwf4kG4b_SZDiKIhZqw;793;;de
https://www.youtube.com/user/oreo;153024;Oreo, Cookies, Fun, Stix, FunStix, Double, Stuf, DSRL, Milk;en
https://www.youtube.com/channel/UCaf0xAvOsADh4RIJrYpp_Zg;6784;razi, de, mori, 2016, faze, tari, cu, betivi, faze tari'' ''razi de mori'' ''faze comice'' ''faze de ras'' ''lesini de ras'' ''faze epice 2016;ro
https://www.youtube.com/user/komplexash;57711;;hr
https://www.youtube.com/channel/UCsbiORsdZCNsYrA4yd-H3AA;1336;musicas, cristianas;en
https://www.youtube.com/user/mrsafety;27034;Mr. Safety, MrSafety, Funny song, funny music, parody, parodies, song, songs, music, comedy, comedic, remix;none
https://www.youtube.com/channel/UCKN_b5yw1y0xH61MlVvXM1w;28523;shocking, history, twist, twisttv, list, top5, mystery, scary, facts, top;en
https://www.youtube.com/user/maplestory;64939;maple, maplestory, mmo, mmorpg, 2d, game, online, nexon, bigbang, big bang, free, f2p, free to play;en
https://www.youtube.com/user/mrtheinvencible;347;loquendo495, humor, caidas, porno, mierda, caca;ca
https://www.youtube.com/user/billy1rbstudios;7999;;en
https://www.youtube.com/channel/UCYlqMOVccc2nJiQ5NA9_ImA;531;;no
https://www.youtube.com/channel/UCjWgYyOmxzjC7JcWnES_7Ig;25258;;en
https://www.youtube.com/user/abrahamhicksvortex;893;Abraham, Hicks, Esther, Source;en
https://www.youtube.com/user/mariamusicales;4523;María, Martínez, Maria, M., seymichiru, mariamusicales, disney, doblaje, musical, musicales, mariadoblaje, maria, martinez, amorevo;en
https://www.youtube.com/user/carmediakorea;33475;CarMedia, 카미디어;pt
https://www.youtube.com/channel/UCUSZPlR4wYNqkBmb4UE0fTQ;419;Лесной мониторинг, борьба с браконьерами, защита животных, фотоловушки, лесные камеры, персональные видеорегистраторы, видео с фотоловушек;ru
https://www.youtube.com/user/stammpe2;9215;;en
https://www.youtube.com/user/melodydramatv;307109;Melody, Drama, TV, melody, channels, الريان, زهرة, خاتم, سليمان, الجماعة, الباطنية, مات, نام, ايزل, رمضا, ن, عادل, امام, طاش, ما, ميرنا, خليل, نور, مهند, غادة, عبد, الرازق, مسلسل, حلقة, مشهد, محذوف, تتر, مقدمة, اعلان, دراما, جلسات, نسائية, مطلوب, رجال, نونة, حنان, ترك, منى, زكى, فاطمة, ربع, مشكل;en
https://www.youtube.com/user/14722227;46994;হালাল বিনোদন, Bangla Gazal, Bangla Nasheed, Bangla Islamic gan, Bangla gojol, Bangla Islamic songs, Bangla Gan, Bangla regional song, Bangla funny song, Bangla poetry, Bangla Islamic short film, Bangla subtitle, Bangla Islamic documentary, Bangla Hamd-Naat, বাংলা ইসলামি গান, বাংলা গজল;en
https://www.youtube.com/channel/UCpOcRbNTCfaDE3378Rdfm0g;5879;bon appetit bien sur, joel robuchon, cuisine, recette, gourmet, tv;fr
https://www.youtube.com/user/2grandancehallhannel;24847;dancehall, reggae, music, jamaica, kingston, parties, party, dvd, music video, howto, tutorial, diss, new dance move, new dance, dhq, dancehallqueen, jamaica video mix, jamaica video, jamaica music video, reggae videos jamaica, dancehall videos, how to download youtube video, Vybz Kartel, Dancehall Reggae, Hip Hop, Urban, New Music, uptown mondays, dancehall mix, dance, dancehall dance, Beefing, dancers, dancing, kartel, youtube, Twerkin, how to get, how to make;none
https://www.youtube.com/user/daverfuller;31659;Queen, Foreigner, Bowie, Led, Zeppelin, Remix, Rare;en
https://www.youtube.com/channel/UCgy54D8v4KoEhCANSGKLiSg;270;;de
https://www.youtube.com/user/m94comedytv;25675;Mohammed, Al, Hinai, Channel, Comedy, Blog, محمد, الهنائي;en
https://www.youtube.com/channel/UCUOCN2vvnphgtutfGI8ptsA;4994;;en
https://www.youtube.com/user/afaqmaroc;71631;طبخ،صحة،جمال،شروحات, الكمبيوتر, والاندرويد;ar
https://www.youtube.com/user/omniamediaco;-1;;en
https://www.youtube.com/user/markipliergame;16212225;markiplier, gaming, video games, gameplay, funny moments, funny, lets play, facecam, commentator, montage, compilation, sketch comedy, silly, playthrough, walkthrough;en
https://www.youtube.com/user/carlcarl9;4;;none
https://www.youtube.com/channel/UCKBCG3P2WOT6s0KMddcrQRw;6523;;en
https://www.youtube.com/user/ivonnefanmjjackson;-1;ivonnefanmjjackson, chicatequilax3, chicavampy;pl
https://www.youtube.com/user/pivottvnetwork;12766;Pivot, Television, Social Action, change, cause, issue;en
https://www.youtube.com/user/iakovosdragonas;-1;IAKOVOSDRAGONAS;sw
https://www.youtube.com/user/hikomikos;8888;Hikomikos, Kolekcjoner, Karty, Pokemon, Trading, Card, Zagrajmy, Sun, Moon, Unboxing, GO, Collector, Complete, Seriess, Opening, Trade, TCBM, FCBM, PTCG, Tazo, Tazos, Pogs, Game, Boy, Advance, Ruby, Sapphire, Emerald, Black2, White2;pl
https://www.youtube.com/user/annimalgaming;1999;Gaming, female gamer, walkthrough, playthrough, annimal;en
https://www.youtube.com/user/yonastv;136457;yonas, yonas music, yonas tv, yonas the transition deluxe, the transition, yonas the transition, the proven theory, yonas the proven theory, yonas music video, yonas raps, rap, hip hop, new york rapper;en
https://www.youtube.com/user/bonappetitdotcom;311273;bon appetit, bon apetit, recipe, recipes, wine, magazine, food, healthy eating, menu, holiday, holiday feast, christmas, sam sifton, celebrity chef, foodie, foodist, cookbook, sriracha, what to do with tomatoes, winter salad, winter menu, winter recipe, dessert, cookies, cookie, christmas menu, winter food, chicken, salmon, pasta, chili, leftover, leftovers, best christmas, best holiday, best winter, kale, squash, cider, taste;en
https://www.youtube.com/user/tujamo;58811;Tujamo, EDM, Electronic Dance Music, Progressive House, Electro House, Dim Mak, Smash The House, Spinnin' Records, Ultra Music, House Music, Tomorrowland, Who, Hey Mr, Dance, Ultra Music Festival, Tomorrowworld, Producer, DJ;en
https://www.youtube.com/user/midnightworldx6;-1;►Sunrise, World, V, s, Sunset, World◄;en
https://www.youtube.com/channel/SWbIfVujPdO14;160;советские, мультфильмы, развивающие, игры, для, детей, мультик, самый, маленький, гном, вася, гномик, и, волк, наши, мультики, самых, маленьких, малышей;ru
https://www.youtube.com/user/ahmekkhmer;4346;Ahmek, Khmer, Cambodia, Kampuchea, Angkor, Wat, Siem, Reap, Phnom, Penh, Jayvarman, VII, Norodom, Sihanouk;en
https://www.youtube.com/user/deradryan;1250;;en
https://www.youtube.com/user/taschenmesserbuch;18110;felix, immler, taschenmesser, werken, schnitzen, sackmesser, waldhandwerk, bushcraft, victorinox, wenger;en
https://www.youtube.com/channel/UCcHUCKtgnB_ARD8Z1yMXyQQ;45579;yellow, claw, barong, family, amsterdam, trap, music, edm, dance, spinnin, records, nizzle, jim, aasgier, mc, bizzey, shotgun, rochelle, electronic;de
https://www.youtube.com/user/edlimagno;1034;iPhone, BlackBerry, Nokia, HTC, Iusacell, Telcel, 3G, EvDO, S60, Google, Android, Palm, Symbian, PoderPDA;es
https://www.youtube.com/user/shadowsixfilms;4209;;en
https://www.youtube.com/channel/UCoTl2a8BKzoAXEgbBOGp7Xw;1599;Loquendo, parodias, daniel, slost, residents96, drako, slayer, tutoriales, la, wea, sin, sentido, friki, loquenderos, diegueteelloquendo, crazymix1641, los, cetros, magic, is, exciting;es
https://www.youtube.com/user/tangbenben;737;;en
https://www.youtube.com/user/mk1kieran;7248;drag, racing;en
https://www.youtube.com/user/joergsprave;1468033;;en
https://www.youtube.com/user/n3rkmind;12745;N3rkmind, League of legends, LoL, ADC, Carry, Elo, League, Champion, ADC Champions, Guide, Tutorial, How to;none
https://www.youtube.com/channel/UCTiNaqb4Mmdrdv9uI7U-L5g;402;;en
https://www.youtube.com/user/amaterasuokamiyami;329;;none
https://www.youtube.com/user/krazyfookinbitch;15095;reggae;en
https://www.youtube.com/user/aggrotv;1333550;aggro, aggrotv, aggroberlin, berlin, aggro berlin, halt, die, fresse, halt die fresse, hdf, hip, hop, hip Hop, hiphop, rap, rapper, deutschrap, sido, fler, b-tight, bushido, tonyd, tony-d, tony d, kittykat, kitty kat, peiler, peilerman, 23, maske, graffiti, 1up, 1 up, farid, bang, kollegah, mc, fitti, battle, boi, basti, haftbefehl, azzlackz, celo, abdi, eko, fresh, bilder, im, kopf, alligatoah, willst, du, freestyle, staiger;de
https://www.youtube.com/user/dimohsh;21375;животные, птица, деревня, фермер, даушифтинг, из города в деревню, жизнь в деревне, деревенская жизнь, жизнь на природе, история переезда, переезд в деревню;ru
https://www.youtube.com/user/quijex;48;YouTube, Poop, Mashup, Video, Remix;en
https://www.youtube.com/channel/UCb8GSAdUJx4DbCF-eZoiwAg;7113;;none
https://www.youtube.com/user/onesmay2013;282722;mayj, lee;en
https://www.youtube.com/user/canal32;3524;wizdeo, télévision, local, actualités, tourisme, vie, locale, sorties, culture, troyes, aube, champagne, ardenne;fr
https://www.youtube.com/user/teonatiotis;175;ΦΟΙΝΙΚΙ, ΛΑΚΩΝΙΑΣ, ΠΕΛΟΠΟΝΝΗΣΟΣ;el
https://www.youtube.com/user/kiimjinhyun;35955;Kim, Kiim, JinHyun, Jeu, vidéo, Video, Game, FR, HD, KiimJinHyun, Assassin, s, Creed, GTA, Pikachu, unboxing;fr
https://www.youtube.com/user/letterboxist;32703;Alduin, Hearth;en
https://www.youtube.com/user/egidijausvlogai;10657;Lietuviški vlogai, EgidijausVlogai, Lietuva, vlogai, Egidijus, Žukauskis, žukauskis, Q&A, LT, IššūkisPriimtas, iššūkis, priimtas, išūkis;lt
https://www.youtube.com/channel/UC9lCyYV6W4OWGD5nvsARqfg;85745;;en
https://www.youtube.com/user/squirrelkidd;15233;Rep, xXBoLTZzXx, SquirrelKidd, Animation, Flash, Sprite, Movie, Fight, Sonic, Natsu, Quote, Thespritas, Maplemation, BomaTheCreator;en
https://www.youtube.com/user/cscondevlog;1344;cscondevlog, cscondevloggs, cscondeblog, csconde, vlog, blog, vlogg, vloggs;es
https://www.youtube.com/user/malverdegamer;26197;;en
https://www.youtube.com/channel/UCx4A9lymqP-UKJBQH_MogaA;18427;;none
https://www.youtube.com/channel/UCmXu2dZMFWDqhizabRl4TMg;1523;;th
https://www.youtube.com/channel/UClnOZsLJV5XP-V8VqkQxMow;156725;Korea, Kpop, Kbeauty, Kreaction, ulzzang;en
https://www.youtube.com/user/sportclubmostardas;22791;icaioproductions, icaioproductions2;en
https://www.youtube.com/user/tushinoringnews;26;;ru
https://www.youtube.com/user/blackwind677;22;;en
https://www.youtube.com/channel/UC3E-4S1DqiTskb_5XIvcESg;7251;;none
https://www.youtube.com/channel/UC9VCE0qMCeVvpDFnlW8Y3MQ;897;Бобунец, Смысловые, Галлюцинации, Вечно, Молодой, Буба;ru
https://www.youtube.com/user/drmiedo123;1264;;es
https://www.youtube.com/user/olafvids;1020811;;none
https://www.youtube.com/channel/UCH845zZlKnYrDvyH3GYiA2A;5112;;hr
https://www.youtube.com/user/arumagu8;9103;arumagu8, 高速通過集, JR東日本の電車;ja
https://www.youtube.com/user/comedyshowtelege;88593;კომედი შოუ, comedy show, shabatis show, შაბათის შოუ, სკეტჩები, იუმორი, იუმორისტული, სკეტჩი, სკეჩი, ვანო ჯავახიშვილი, მიშა ანდღულაძე, ვასო ფხაკაძე, ნიკა გრიგოლია, ნიკა არაბიძე, ვახო ბიჭიკაშვილი, რუსთავი 2, rustavi 2, rustavi, რუსთავი;et
https://www.youtube.com/channel/UCNfGyzMCpuwOsNsFWBfUOKg;10;;none
https://www.youtube.com/channel/UCsc1EYLgnvQKrKbEXn6rkxg;7654;;none
https://www.youtube.com/user/matapuna1;191;Matapuna, Training, Centre, gisborne, east, coast, music, new, zealand, cowps, surf;en
https://www.youtube.com/channel/UCZJ-3LBr4h-yKtWsjeQTq_A;2483;Ordem, do, Dia, TV, Cultura, Jornalismo;pt
https://www.youtube.com/user/bigsound23;130;Beats, Musik, BigSounds23, 5XXlMusic, King7, King77, Wer, BEATET, mehr?;de
https://www.youtube.com/channel/UC1hUJs24up-ZCXEDffVmflw;20;;none
https://www.youtube.com/user/ramboamadeussmc;6305;Rambo, Amadeus;en
https://www.youtube.com/user/superjadona;13458;Viagem, europa, vida na alemanha, intercambio na alemanha, vida na europa, intercambio na europa, colonia, cologne, koln, bergisch gladbach, travel, trip, europe;pt
https://www.youtube.com/channel/UC7rtUh43Y_TVYODwoY-ZLYA;247;;pt
https://www.youtube.com/user/daumkila;4346;Muad, Ali, Abubrig;none
https://www.youtube.com/user/lorddraconical;440534;nerf, mod, review, guide, how, to, Tech, fix, drac, vampire, coop772, nerfboyproductions, war, hack, Draconical, unboxing, help, face;en
